,rapm,name,pos,events_onice
8478136,-0.20511558319956796,Jake Middleton,D,571
8478146,-0.013573718105426714,Matthew Highmore,C,87
8478178,-0.041950569309431134,Darren Raddysh,D,646
8478211,0.04878231609752323,Dryden Hunt,L,50
8478233,0.1267373453199431,Andrew Mangiapane,L,315
8478366,0.1520395592849465,Frank Vatrano,R,659
8478396,-0.07476311148378412,Noah Hanifin,D,583
8478397,-0.038855010294572744,Rasmus Andersson,D,930
8478398,0.22930148352870947,Kyle Connor,L,685
8478399,-0.17588381159358704,Jonas Siegenthaler,D,431
8478401,0.12790964229234064,Pavel Zacha,C,809
8478402,0.19087551975728076,Connor McDavid,C,700
8478403,0.08687729740017788,Jack Eichel,C,797
8478407,0.08009671166983383,Vince Dunn,D,598
8478408,-0.18384144257131765,Travis Dermott,D,204
8478413,-0.13050038301776506,Jordan Greenway,L,393
8478414,0.20783503031859632,Timo Meier,R,450
8478416,-0.2473621418709154,Erik Cernak,D,690
8478420,0.2310230617253788,Mikko Rantanen,R,792
8478421,0.026952002050721513,A.J. Greer,L,342
8478424,0.08796406021411692,Jansen Harkins,C,164
8478427,0.2629539760406562,Sebastian Aho,C,816
8478430,-0.08855037075882549,Oliver Kylington,D,109
8478432,0.03252217931910719,Christian Fischer,R,184
8478434,0.058576743667890896,Keegan Kolesar,R,250
8478438,0.1127804568374592,Tommy Novak,C,312
8478439,0.259878915059971,Travis Konecny,R,776
8478440,0.24900257468998782,Dylan Strome,C,702
8478443,-0.3099416188658692,Brandon Carlo,D,676
8478444,0.32206617533761195,Brock Boeser,R,727
8478445,0.23670108334594864,Mathew Barzal,C,552
8478449,0.17373365087626516,Roope Hintz,C,656
8478450,-0.2291113806214595,Parker Wotherspoon,D,427
8478452,-0.028411173861549125,Caleb Jones,D,62
8478454,-0.13598713495844242,Noah Juulsen,D,310
8478458,0.1143485656767368,Jack Roslovic,C,368
8478460,0.09729633497874224,Zach Werenski,D,757
8478462,0.0046499860673199726,Nicolas Roy,C,407
8478463,0.022253480588014483,Anthony Beauvillier,L,304
8478466,0.040292950229642396,Daniel Sprong,R,154
8478468,-0.16457347609452763,Jeremy Lauzon,D,504
8478469,-0.0322858883166528,Thomas Chabot,D,609
